               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04545,            0.065377,            0.016455,             0.66959,             0.60324,             0.68542,             0.44959,            0.041352,            0.037879,            0.010597,              0.0937,              0.0007,              0.0007
                   1,            0.043832,             0.06175,            0.017228,             0.74511,             0.62652,             0.72589,             0.48537,            0.040451,            0.036743,           0.0091028,            0.086426,           0.0014257,           0.0014257
                   2,            0.044731,            0.070211,            0.016044,             0.79891,             0.64265,             0.74809,             0.48692,             0.04013,            0.035862,           0.0080776,            0.079072,           0.0020723,           0.0020723
                   3,            0.043943,            0.062178,             0.01372,             0.73074,             0.68138,             0.76613,             0.50389,            0.039926,            0.035556,           0.0073612,             0.07164,           0.0026396,           0.0026396
                   4,            0.044342,            0.061084,            0.013424,             0.78248,             0.69033,             0.77219,             0.51717,            0.039662,            0.034887,           0.0067296,            0.064128,           0.0031278,           0.0031278
                   5,             0.04432,            0.056511,            0.013876,             0.79962,              0.7001,             0.79379,             0.50738,            0.040882,            0.033492,           0.0062006,            0.056537,           0.0035367,           0.0035367
                   6,            0.043931,            0.050777,            0.013533,              0.7803,             0.71655,             0.79198,             0.50103,            0.041046,            0.032957,           0.0059018,            0.048867,           0.0038665,           0.0038665
                   7,            0.046089,            0.060872,            0.010586,             0.76743,             0.74075,             0.80031,             0.50848,            0.041453,            0.032551,           0.0053897,            0.041117,           0.0041171,           0.0041171
                   8,            0.044762,            0.059065,            0.012675,             0.81065,             0.73926,             0.82113,             0.52159,            0.041125,            0.032241,           0.0050617,            0.033288,           0.0042884,           0.0042884
                   9,            0.043178,            0.055214,              0.0103,             0.81063,              0.7602,             0.81891,             0.53691,            0.040333,            0.031961,           0.0049046,            0.025381,           0.0043806,           0.0043806
                  10,            0.045596,            0.062844,            0.010152,              0.7734,             0.78148,             0.81994,             0.52467,            0.041593,            0.031156,           0.0046883,            0.017394,           0.0043935,           0.0043935
                  11,            0.043726,            0.056004,           0.0097723,             0.80925,             0.78349,             0.83306,             0.56236,            0.039173,            0.030149,           0.0045484,           0.0093273,           0.0043273,           0.0043273
                  12,            0.042709,            0.050428,            0.011407,             0.81902,             0.79201,             0.83602,             0.56439,            0.039931,            0.029268,           0.0043516,             0.00406,             0.00406,             0.00406
                  13,            0.043168,            0.055484,            0.010724,             0.82586,             0.78553,             0.83794,             0.55971,            0.040008,            0.028839,           0.0042552,             0.00406,             0.00406,             0.00406
                  14,            0.041473,            0.048613,           0.0091867,             0.84626,             0.78757,             0.84725,             0.58642,            0.037588,             0.02838,           0.0041275,            0.003565,            0.003565,            0.003565
                  15,            0.039961,            0.052002,             0.00881,             0.87637,             0.78011,             0.85222,             0.59441,            0.036554,            0.027983,            0.003997,             0.00307,             0.00307,             0.00307
                  16,            0.041493,            0.048539,           0.0090939,             0.89069,             0.79286,             0.86665,             0.60916,            0.035569,            0.027746,           0.0038815,            0.002575,            0.002575,            0.002575
                  17,            0.038175,             0.04888,            0.009486,             0.88406,             0.80253,             0.86879,             0.62115,            0.034743,            0.027639,           0.0037314,             0.00208,             0.00208,             0.00208
                  18,            0.037808,            0.048761,             0.00866,             0.89099,             0.79824,             0.87092,              0.6264,            0.034484,            0.027515,           0.0036446,            0.001585,            0.001585,            0.001585
                  19,            0.036679,            0.049474,           0.0096533,             0.90647,             0.79797,             0.87338,             0.63502,            0.033846,            0.027308,           0.0035604,             0.00109,             0.00109,             0.00109
